Mois;Nombre de trains comptabilisés + les trains supprimés;Nombre de trains étant arrivés à destination avec moins de 6 min. de retard;Ponctualité;Année
2016-02;103564;92905;89.70781352593565;2016
2016-07;101208;93071;91.96012172950755;2016
2016-09;106295;94621;89.0173573545322;2016
2017-01;109104;97822;89.65940753776214;2017
2017-02;101340;88998;87.82119597394909;2017
2017-05;111112;94896;85.40571675426597;2017
2017-06;108446;93292;86.0262250336573;2017
2017-10;110738;89839;81.12752623309072;2017
2017-12;110653;93502;84.50019430110345;2017
2018-07;107449;93087;86.63365875903916;2018
2018-10;120599;99887;82.82572823986932;2018
2019-06;110707;96392;87.06947166845819;2019
2019-09;114865;102176;88.95311887868367;2019
2019-10;120731;104923;86.90642834069129;2019
2020-01;117544;106518;90.61968284216974;2020
2020-02;109291;96123;87.95143241437997;2020
2020-03;101164;91292;90.24158791665019;2020
2020-04;62853;60410;96.11315291235104;2020
2020-07;113202;106953;94.47977950919595;2020
2020-10;117507;106432;90.57502957270631;2020
2020-11;105962;96521;91.09020214793982;2020
2021-04;108534;100082;92.21257854681483;2021
2021-06;117369;105590;89.96413022177917;2021
2021-08;113716;105457;92.73716979141018;2021
2021-12;118855;107398;90.36052332674267;2021
2022-01;116052;106195;91.50639368558922;2022
2022-03;121104;105635;87.22668119963008;2022
2022-04;108734;95035;87.40136479849909;2022
2022-07;112669;100306;89.02715032528911;2022
2022-08;113469;101989;89.88269923943984;2022
2022-10;114599;94537;82.49373903786245;2022
2023-01;118222;102723;86.88991896601308;2023
2023-04;104977;90201;85.92453585071016;2023
2023-08;112004;100002;89.28431127459734;2023
2023-10;118203;97618;82.58504437281626;2023
2024-04;112916;98242;87.00449891955083;2024
2024-05;115358;99358;86.13013401758005;2024
2016-03;106965;95002;88.81596783994765;2016
2016-04;100501;89996;89.5473676878837;2016
2016-05;103382;81611;78.9412083341394;2016
2016-06;104583;84004;80.32280580973963;2016
2016-08;104390;94666;90.68493150684932;2016
2016-10;106580;90373;84.79358228560706;2016
2016-12;108232;95568;88.2992091063641;2016
2017-03;114064;100688;88.2732501052041;2017
2017-09;107317;92275;85.98358135244183;2017
2017-11;107079;86259;80.5564116213263;2017
2018-02;105334;88952;84.44756678755198;2018
2018-04;107288;94409;87.99586160614422;2018
2018-09;111129;90972;81.86162027913507;2018
2019-02;105226;93051;88.4296656719822;2019
2019-03;116565;104435;89.59378887316089;2019
2019-04;111375;99265;89.12682379349046;2019
2019-12;110876;98347;88.69998917709874;2019
2020-05;106439;99945;93.89885286408177;2020
2020-06;110722;102794;92.83972471595527;2020
2020-09;115065;104571;90.87993742667189;2020
2020-12;114963;107590;93.58663222080148;2020
2021-02;106746;93911;87.97613025312424;2021
2021-03;116478;105713;90.75791136523635;2021
2021-07;113443;102813;90.62965542166552;2021
2021-10;117224;102266;87.23981437248345;2021
2022-06;115641;98626;85.28636037391583;2022
2022-09;117257;100950;86.09294114637079;2022
2022-11;102341;84712;82.77425469753081;2022
2023-02;107147;88329;82.43721242778612;2023
2023-03;116888;99418;85.05406885223462;2023
2023-09;113431;95327;84.03963643095803;2023
2023-12;111200;93808;84.35971223021582;2023
2024-01;121776;100623;82.62958218368152;2024
2016-01;106069;89899;84.75520651651284;2016
2016-11;101335;81913;80.8338678640154;2016
2017-04;100764;92468;91.76690087729746;2017
2017-07;103813;94664;91.18703823220599;2017
2017-08;106169;97649;91.97505863293428;2017
2018-01;115936;101213;87.30075213911124;2018
2018-03;116711;101672;87.11432512787998;2018
2018-05;112361;95458;84.95652406083961;2018
2018-06;108809;89896;82.61816577672802;2018
2018-08;111935;100338;89.63952293741903;2018
2018-11;113072;92760;82.03622470638177;2018
2018-12;113264;100046;88.32991948015257;2018
2019-01;118200;103959;87.9517766497462;2019
2019-05;116422;101106;86.84441085018295;2019
2019-07;116075;104582;90.09864311867327;2019
2019-08;112483;103993;92.45219277579723;2019
2019-11;108158;91336;84.44682778897538;2019
2020-08;111370;103425;92.86612193588938;2020
2021-01;115826;106710;92.1295736708511;2021
2021-05;113709;105075;92.40693348811439;2021
2021-09;116015;103053;88.82730681377407;2021
2021-11;112495;99339;88.30525801146717;2021
2022-02;104318;91362;87.58028336432831;2022
2022-05;114986;100141;87.08973266310682;2022
2022-12;116215;93849;80.75463580432819;2022
2023-05;113153;94616;83.61775648900162;2023
2023-06;115192;95986;83.32696715049657;2023
2023-07;108361;96473;89.02926329583522;2023
2023-11;104612;81962;78.34856421825413;2023
2024-02;115529;98336;85.11802231474348;2024
2024-03;120077;105049;87.48469731922016;2024
